学生姓名,生源地,毕业去向,就业单位名称/征兵办名称/项目名称/创业单位名称/升学院校名称/境外单位名称,单位/征兵办/项目/院校所属地区,单位/征兵办/项目/院校所属地区.1,岗位名称/专业名称/工作内容,职业类型,薪酬,签约时间/入伍时间/创业时间/就业时间/入学、入职时间,专业与就业相关度,院系,专业名称,学历
,香港特别行政区,签劳动合同形式就业,恩平市优越艺术培训中心,广东省恩平市,广东省恩平市,教师,教学人员,3500.0,2021-06-15,匹配,音乐舞蹈学院,舞蹈表演,专科
,广东省河源市连平县,其他录用形式就业,广州汇才创智科技有限公司,广东省广州市天河区,广东省广州市天河区,设计师助理,其他人员,5000.0,2021-04-20,比较匹配,艺术设计学院,产品艺术设计,专科
,香港特别行政区,其他录用形式就业,,,,,,,,,外语外贸学院,商务英语,专科
,广东省东莞市,签就业协议形式就业,广州市卓捷物流有限公司,广东省东莞市,广东省东莞市,仓库管理员,生产和运输设备操作人员,4000.0,2021-01-05,不匹配,艺术教育学院,舞蹈教育-5年制,专科
,广东省江门市恩平市,签劳动合同形式就业,广州昊天游科技有限公司,广东省广州市天河区,广东省广州市天河区,客服,其他人员,3000.0,2021-08-12,一般匹配,信息学院,数字媒体应用技术（游戏动画）,专科
,广东省珠海市香洲区,其他录用形式就业,珠海市自游行体育用品有限公司,广东省珠海市香洲区,广东省珠海市香洲区,it助理,其他人员,4000.0,2021-03-10,一般匹配,信息学院,计算机应用技术（云计算运维）-2年制,专科
,广东省湛江市廉江市,其他录用形式就业,深圳市龙华区春乾凤清肠粉宵夜店,广东省深圳市龙华区,广东省深圳市龙华区,烧烤学徒,商业和服务业人员,2500.0,2021-04-10,不匹配,信息学院,计算机应用技术（云计算运维）-2年制,专科
,广东省东莞市,其他录用形式就业,广州火山龙教育科技有限公司,广东省广州市天河区,广东省广州市天河区,美工,其他人员,3500.0,2021-06-28,一般匹配,艺术设计学院,艺术设计-2年制,专科
,广东省肇庆市四会市,签就业协议形式就业,广州市义丰酒店设备有限公司,广东省广州市,广东省广州市,教务,其他人员,5000.0,2020-12-08,一般匹配,外语外贸学院,商务英语,专科
,广东省云浮市罗定市,境内升学,广东财经大学,广东省佛山市三水区,广东省佛山市三水区,电子商务,其他人员,,2021-09-08,,外语外贸学院,电子商务,专科
